net,length_um
_03021_,5.505µm
_03026_,5.505µm
_03094_,5.505µm
_01860_,5.5µm
_04557_,5.5µm
_04851_,5.5µm
_05057_,5.5µm
net122,5.5µm
net2024,5.5µm
net2053,5.5µm
net2265,5.5µm
data_array.data1\[11\]\[30\],5.485µm
data_array.data1\[7\]\[13\],5.485µm
_02980_,5.48µm
_04399_,5.48µm
data_array.data0\[0\]\[19\],5.48µm
data_array.data0\[14\]\[37\],5.48µm
data_array.data0\[5\]\[54\],5.48µm
data_array.data1\[12\]\[5\],5.48µm
data_array.data1\[2\]\[20\],5.48µm
data_array.data1\[4\]\[59\],5.48µm
data_array.rdata0\[53\],5.48µm
net1877,5.48µm
net2895,5.48µm
net2955,5.48µm
_00270_,5.475µm
_00626_,5.475µm
_00712_,5.475µm
_00798_,5.475µm
_01215_,5.475µm
data_array.data1\[11\]\[41\],5.475µm
_04047_,5.46µm
_04720_,5.46µm
data_array.data1\[12\]\[7\],5.46µm
tag_array.tag1\[13\]\[1\],5.46µm
_01690_,5.445µm
_03001_,5.445µm
_00198_,5.435µm
_00265_,5.435µm
_00307_,5.435µm
_01519_,5.435µm
_01954_,5.435µm
_02410_,5.435µm
_02985_,5.435µm
_03043_,5.435µm
_00951_,5.425µm
_01282_,5.425µm
_01304_,5.425µm
_01789_,5.425µm
_02072_,5.425µm
_02250_,5.425µm
_02363_,5.425µm
_02617_,5.425µm
_02666_,5.425µm
mem_wdata[14],5.41µm
_00456_,5.405µm
_01056_,5.405µm
_03587_,5.4µm
_03609_,5.4µm
_03910_,5.4µm
_04079_,5.4µm
_04589_,5.4µm
_05290_,5.4µm
_05354_,5.4µm
_05368_,5.4µm
_02029_,5.385µm
_03322_,5.38µm
_03563_,5.38µm
_03822_,5.38µm
_03984_,5.38µm
_04004_,5.38µm
_04401_,5.38µm
_04614_,5.38µm
_05346_,5.38µm
_05380_,5.38µm
_05517_,5.38µm
data_array.data1\[12\]\[30\],5.38µm
tag_array.tag0\[6\]\[6\],5.38µm
tag_array.tag1\[2\]\[6\],5.38µm
net2651,5.38µm
net2727,5.38µm
net2825,5.38µm
net2946,5.38µm
net2975,5.38µm
net2987,5.38µm
net2995,5.38µm
net3187,5.38µm
net3301,5.38µm
net3999,5.38µm
net4254,5.38µm
_03310_,5.36µm
data_array.data0\[5\]\[23\],5.36µm
data_array.data1\[14\]\[47\],5.36µm
data_array.data1\[2\]\[26\],5.36µm
data_array.rdata0\[18\],5.36µm
tag_array.valid1\[6\],5.36µm
net2195,5.36µm
data_array.data0\[7\]\[33\],5.355µm
_00532_,5.345µm
_03241_,5.34µm
_03495_,5.34µm
_03763_,5.34µm
_04062_,5.34µm
_04086_,5.34µm
_04214_,5.34µm
_04335_,5.34µm
_04404_,5.34µm
_04418_,5.34µm
_04676_,5.34µm
_04962_,5.34µm
_05013_,5.34µm
_05122_,5.34µm
_05264_,5.34µm
_05305_,5.34µm
_05479_,5.34µm
_05499_,5.34µm
tag_array.tag1\[14\]\[20\],5.34µm
net60,5.34µm
net63,5.34µm
net166,5.34µm
net307,5.34µm
net1709,5.34µm
net2285,5.34µm
net2438,5.34µm
net2483,5.34µm
net2709,5.34µm
net2896,5.34µm
net3924,5.34µm
net3934,5.34µm
net3982,5.34µm
net4128,5.34µm
net4327,5.34µm
net4331,5.34µm
net4563,5.34µm
net4565,5.34µm
_00689_,5.335µm
_02276_,5.335µm
_00881_,5.315µm
_00966_,5.315µm
tag_array.tag1\[15\]\[5\],5.315µm
mem_addr[19],5.31µm
_00213_,5.305µm
_00699_,5.305µm
_00744_,5.305µm
_00855_,5.305µm
_00907_,5.305µm
_00908_,5.305µm
_01175_,5.305µm
_01204_,5.305µm
_01219_,5.305µm
_01222_,5.305µm
_01534_,5.305µm
_01561_,5.305µm
_01591_,5.305µm
_01623_,5.305µm
_02092_,5.305µm
_02139_,5.305µm
_02444_,5.305µm
_02456_,5.305µm
_02515_,5.305µm
_02518_,5.305µm
_02681_,5.305µm
_03192_,5.29µm
cpu_wdata[9],5.29µm
mem_rdata[11],5.29µm
mem_rdata[49],5.29µm
data_array.data0\[15\]\[58\],5.285µm
data_array.data0\[3\]\[23\],5.285µm
data_array.data0\[3\]\[61\],5.285µm
data_array.data0\[7\]\[45\],5.285µm
data_array.data1\[15\]\[27\],5.285µm
data_array.data1\[15\]\[35\],5.285µm
data_array.data1\[15\]\[39\],5.285µm
tag_array.tag0\[11\]\[0\],5.285µm
tag_array.tag1\[11\]\[22\],5.285µm
tag_array.tag1\[15\]\[3\],5.285µm
_03366_,5.28µm
_04324_,5.28µm
_04336_,5.28µm
_04752_,5.28µm
_04864_,5.28µm
_04924_,5.28µm
_04995_,5.28µm
_05202_,5.28µm
_05363_,5.28µm
_05531_,5.28µm
data_array.data0\[2\]\[40\],5.28µm
net300,5.28µm
_00530_,5.265µm
_01179_,5.265µm
_01440_,5.265µm
_01935_,5.265µm
_02046_,5.265µm
_03093_,5.265µm
_03145_,5.26µm
_03367_,5.26µm
_03486_,5.26µm
_03720_,5.26µm
_03878_,5.26µm
_03989_,5.26µm
_04033_,5.26µm
_04609_,5.26µm
_04944_,5.26µm
_05059_,5.26µm
_05107_,5.26µm
_05217_,5.26µm
_05245_,5.26µm
data_array.data1\[4\]\[58\],5.26µm
data_array.data1\[8\]\[63\],5.26µm
tag_array.tag0\[13\]\[15\],5.26µm
tag_array.tag1\[10\]\[16\],5.26µm
net23,5.26µm
net277,5.26µm
net1835,5.26µm
net1845,5.26µm
net2021,5.26µm
net2280,5.26µm
net3386,5.26µm
net3699,5.26µm
net4150,5.26µm
_00612_,5.24µm
_00661_,5.24µm
_02600_,5.24µm
data_array.data0\[9\]\[32\],5.24µm
_03362_,5.22µm
_03386_,5.22µm
_03821_,5.22µm
_04057_,5.22µm
_04234_,5.22µm
_04361_,5.22µm
_04635_,5.22µm
_04736_,5.22µm
_04901_,5.22µm
_05127_,5.22µm
_05273_,5.22µm
_05340_,5.22µm
_05485_,5.22µm
_05491_,5.22µm
data_array.data0\[9\]\[53\],5.22µm
data_array.data1\[0\]\[24\],5.22µm
data_array.data1\[13\]\[22\],5.22µm
data_array.data1\[14\]\[18\],5.22µm
data_array.data1\[9\]\[25\],5.22µm
net217,5.22µm
net318,5.22µm
net320,5.22µm
net322,5.22µm
net1865,5.22µm
net1903,5.22µm
net2269,5.22µm
net2767,5.22µm
net4155,5.22µm
cpu_addr[22],5.19µm
mem_addr[18],5.19µm
_01254_,5.185µm
_01685_,5.185µm
_02142_,5.185µm
_02646_,5.185µm
_02744_,5.185µm
_00715_,5.165µm
_01343_,5.165µm
_02314_,5.165µm
_03029_,5.165µm
_01382_,5.16µm
_02541_,5.16µm
_02684_,5.16µm
net2250,5.16µm
net2277,5.16µm
net3159,5.16µm
net3160,5.16µm
net3231,5.16µm
net3672,5.16µm
net3732,5.16µm
net3779,5.16µm
net3884,5.16µm
net4114,5.16µm
net4179,5.16µm
_03543_,5.15µm
mem_wdata[18],5.15µm
_01405_,5.145µm
data_array.data1\[15\]\[19\],5.145µm
tag_array.tag1\[7\]\[19\],5.145µm
_04869_,5.14µm
_05184_,5.14µm
data_array.data0\[12\]\[34\],5.14µm
data_array.data0\[13\]\[18\],5.14µm
data_array.data0\[13\]\[19\],5.14µm
data_array.data0\[4\]\[20\],5.14µm
data_array.data0\[8\]\[7\],5.14µm
data_array.data1\[13\]\[44\],5.14µm
data_array.data1\[13\]\[49\],5.14µm
tag_array.tag1\[6\]\[17\],5.14µm
net306,5.14µm
net1780,5.14µm
net2075,5.14µm
net2244,5.14µm
net3623,5.14µm
_03304_,5.12µm
net1701,5.12µm
net1774,5.12µm
net1820,5.12µm
net1847,5.12µm
net1923,5.12µm
net2096,5.12µm
net2311,5.12µm
net2398,5.12µm
net2645,5.12µm
net2653,5.12µm
net2729,5.12µm
net2811,5.12µm
net2910,5.12µm
net2989,5.12µm
net3003,5.12µm
net3008,5.12µm
net3072,5.12µm
net3073,5.12µm
net3134,5.12µm
net3146,5.12µm
net3387,5.12µm
net3425,5.12µm
net3503,5.12µm
net3505,5.12µm
net3577,5.12µm
net3693,5.12µm
net3768,5.12µm
net3816,5.12µm
net3825,5.12µm
net3953,5.12µm
net4000,5.12µm
net4018,5.12µm
net4187,5.12µm
net4241,5.12µm
net4413,5.12µm
net4439,5.12µm
net4464,5.12µm
_01946_,5.095µm
_02520_,5.095µm
_02820_,5.095µm
_02844_,5.095µm
_02968_,5.095µm
_00272_,5.085µm
_00420_,5.085µm
_00582_,5.085µm
_00659_,5.085µm
_00680_,5.085µm
_00929_,5.085µm
_01068_,5.085µm
_01195_,5.085µm
_01368_,5.085µm
_01490_,5.085µm
_01635_,5.085µm
_01663_,5.085µm
_01779_,5.085µm
_01818_,5.085µm
_01858_,5.085µm
_01923_,5.085µm
_02115_,5.085µm
_02151_,5.085µm
_02354_,5.085µm
_02460_,5.085µm
_02625_,5.085µm
_02682_,5.085µm
_02708_,5.085µm
_02733_,5.085µm
_02998_,5.085µm
_03089_,5.085µm
cpu_addr[28],5.07µm
cpu_rdata[18],5.07µm
cpu_rdata[22],5.07µm
cpu_rdata[28],5.07µm
cpu_rdata[29],5.07µm
cpu_rdata[34],5.07µm
cpu_rdata[45],5.07µm
cpu_rdata[8],5.07µm
cpu_read,5.07µm
mem_wdata[15],5.07µm
mem_wdata[3],5.07µm
_00700_,5.065µm
_00705_,5.065µm
data_array.data1\[3\]\[8\],5.06µm
tag_array.tag0\[3\]\[13\],5.06µm
net1752,5.06µm
net1840,5.06µm
net2501,5.06µm
net2535,5.06µm
net3133,5.06µm
net3643,5.06µm
net3736,5.06µm
net3741,5.06µm
net3814,5.06µm
net3819,5.06µm
net3983,5.06µm
net4209,5.06µm
net4266,5.06µm
_05285_,5.05µm
_00205_,5.045µm
_00364_,5.045µm
_00457_,5.045µm
_00538_,5.045µm
_00776_,5.045µm
_00926_,5.045µm
_01580_,5.045µm
_01815_,5.045µm
_02100_,5.045µm
_02362_,5.045µm
_02581_,5.045µm
_02740_,5.045µm
_02922_,5.045µm
_03530_,5.04µm
_03800_,5.04µm
_04056_,5.04µm
_04317_,5.04µm
_04449_,5.04µm
_04684_,5.04µm
net109,5.04µm
net2614,5.04µm
net3099,5.04µm
tag_array.tag1\[15\]\[16\],5.025µm
_04477_,5.02µm
data_array.data0\[12\]\[32\],5.02µm
data_array.data0\[2\]\[59\],5.02µm
data_array.data0\[8\]\[0\],5.02µm
data_array.data0\[9\]\[62\],5.02µm
data_array.data1\[12\]\[16\],5.02µm
data_array.data1\[5\]\[42\],5.02µm
data_array.data1\[8\]\[29\],5.02µm
net2217,5.02µm
net2247,5.02µm
net2608,5.02µm
_01709_,5.015µm
_02984_,5.015µm
_03440_,5µm
_03474_,5µm
_03567_,5µm
_03740_,5µm
_04487_,5µm
_04970_,5µm
_05187_,5µm
net2072,5µm
net2182,5µm
net2619,5µm
net3197,5µm
net4414,5µm
_00918_,4.985µm
_01734_,4.985µm
data_array.data0\[3\]\[33\],4.98µm
_02066_,4.975µm
_02308_,4.975µm
_00440_,4.965µm
_00486_,4.965µm
_01157_,4.965µm
_02289_,4.965µm
_02299_,4.965µm
_02375_,4.965µm
cpu_wdata[49],4.95µm
mem_rdata[28],4.95µm
mem_rdata[29],4.95µm
mem_rdata[45],4.95µm
_00504_,4.945µm
_03286_,4.94µm
_03446_,4.94µm
_03470_,4.94µm
_03759_,4.94µm
_04101_,4.94µm
_05191_,4.94µm
net3830,4.94µm
data_array.data0\[7\]\[14\],4.935µm
_03308_,4.92µm
_03399_,4.92µm
_03865_,4.92µm
_03912_,4.92µm
_04105_,4.92µm
_05410_,4.92µm
data_array.data1\[14\]\[60\],4.92µm
net188,4.92µm
net268,4.92µm
net2284,4.92µm
net2704,4.92µm
net2994,4.92µm
net3127,4.92µm
net3257,4.92µm
net3262,4.92µm
net3462,4.92µm
net3644,4.92µm
net3916,4.92µm
net4032,4.92µm
net4231,4.92µm
net4251,4.92µm
_03299_,4.9µm
data_array.rdata1\[16\],4.9µm
tag_array.tag1\[14\]\[2\],4.9µm
_00510_,4.895µm
_01758_,4.895µm
data_array.data0\[15\]\[62\],4.895µm
_00565_,4.885µm
_03492_,4.88µm
_03922_,4.88µm
_04144_,4.88µm
_04188_,4.88µm
_04364_,4.88µm
_04462_,4.88µm
_04519_,4.88µm
_04775_,4.88µm
_04942_,4.88µm
_05018_,4.88µm
_05104_,4.88µm
_05445_,4.88µm
data_array.rdata0\[60\],4.88µm
tag_array.tag1\[8\]\[17\],4.88µm
net37,4.88µm
net92,4.88µm
net181,4.88µm
net194,4.88µm
net226,4.88µm
net286,4.88µm
net292,4.88µm
net2853,4.88µm
net2877,4.88µm
net3013,4.88µm
net3049,4.88µm
net3446,4.88µm
net3470,4.88µm
net3573,4.88µm
net3834,4.88µm
net3849,4.88µm
net3911,4.88µm
net3956,4.88µm
net4221,4.88µm
net4577,4.88µm
net4604,4.88µm
cpu_addr[15],4.85µm
cpu_addr[3],4.85µm
cpu_ready,4.85µm
mem_addr[12],4.85µm
mem_addr[15],4.85µm
mem_addr[2],4.85µm
mem_addr[3],4.85µm
mem_read,4.85µm
_00377_,4.845µm
_00451_,4.845µm
_00604_,4.845µm
_00702_,4.845µm
_00775_,4.845µm
_00787_,4.845µm
_01002_,4.845µm
_01072_,4.845µm
_01079_,4.845µm
_01084_,4.845µm
_01117_,4.845µm
_01141_,4.845µm
_01172_,4.845µm
_01275_,4.845µm
_01289_,4.845µm
_01383_,4.845µm
_01420_,4.845µm
_01501_,4.845µm
_01678_,4.845µm
_01695_,4.845µm
_02022_,4.845µm
_02207_,4.845µm
_02236_,4.845µm
_02271_,4.845µm
_02283_,4.845µm
_02341_,4.845µm
_02480_,4.845µm
_02595_,4.845µm
_02616_,4.845µm
_02770_,4.845µm
_02937_,4.845µm
_01481_,4.825µm
_03307_,4.82µm
_03655_,4.82µm
_03905_,4.82µm
_03932_,4.82µm
_04106_,4.82µm
_04228_,4.82µm
_04291_,4.82µm
_04658_,4.82µm
_05272_,4.82µm
_05437_,4.82µm
data_array.data0\[10\]\[49\],4.82µm
data_array.data0\[10\]\[53\],4.82µm
data_array.data0\[6\]\[26\],4.82µm
data_array.data0\[6\]\[35\],4.82µm
data_array.data1\[2\]\[18\],4.82µm
data_array.data1\[2\]\[1\],4.82µm
data_array.data1\[6\]\[35\],4.82µm
data_array.data1\[6\]\[41\],4.82µm
tag_array.tag0\[10\]\[4\],4.82µm
tag_array.tag1\[2\]\[0\],4.82µm
_00637_,4.805µm
_00903_,4.805µm
_03439_,4.8µm
_03445_,4.8µm
_04073_,4.8µm
_04489_,4.8µm
_04572_,4.8µm
_04590_,4.8µm
_05310_,4.8µm
data_array.data0\[12\]\[26\],4.8µm
data_array.rdata0\[30\],4.8µm
net180,4.8µm
net224,4.8µm
net1761,4.8µm
net1822,4.8µm
net1849,4.8µm
net1885,4.8µm
net1920,4.8µm
net1934,4.8µm
net2034,4.8µm
net2109,4.8µm
net2128,4.8µm
net2136,4.8µm
net2150,4.8µm
net2206,4.8µm
net2279,4.8µm
net2371,4.8µm
net2404,4.8µm
net2486,4.8µm
net2565,4.8µm
net2744,4.8µm
net3053,4.8µm
net3176,4.8µm
net3637,4.8µm
net3869,4.8µm
net4493,4.8µm
_00228_,4.795µm
_00296_,4.795µm
_03531_,4.76µm
_03670_,4.76µm
_04392_,4.76µm
_04701_,4.76µm
_04799_,4.76µm
_04979_,4.76µm
_05120_,4.76µm
_05181_,4.76µm
_05186_,4.76µm
_05423_,4.76µm
data_array.data0\[5\]\[50\],4.76µm
net303,4.76µm
net1992,4.76µm
net2428,4.76µm
cpu_addr[10],4.73µm
cpu_addr[19],4.73µm
_00210_,4.725µm
_00345_,4.725µm
_00873_,4.725µm
_01772_,4.725µm
_01796_,4.725µm
_02613_,4.725µm
_03016_,4.725µm
_00897_,4.7µm
_01351_,4.7µm
_01447_,4.7µm
_01838_,4.7µm
_02297_,4.7µm
_03483_,4.7µm
net2129,4.7µm
net2592,4.7µm
net2624,4.7µm
net2663,4.7µm
net3044,4.7µm
net3525,4.7µm
net3654,4.7µm
net3879,4.7µm
net4107,4.7µm
net4213,4.7µm
net4336,4.7µm
net4396,4.7µm
net4543,4.7µm
data_array.data0\[3\]\[25\],4.685µm
data_array.data0\[7\]\[48\],4.685µm
data_array.data1\[15\]\[55\],4.685µm
data_array.data1\[3\]\[15\],4.685µm
_04502_,4.68µm
data_array.data0\[0\]\[31\],4.68µm
data_array.data1\[4\]\[7\],4.68µm
tag_array.tag1\[12\]\[23\],4.68µm
net1884,4.68µm
net2437,4.68µm
net2776,4.68µm
net2905,4.68µm
net3241,4.68µm
net3365,4.68µm
net4164,4.68µm
net4339,4.68µm
_00290_,4.675µm
_01773_,4.675µm
_03290_,4.66µm
net38,4.66µm
net94,4.66µm
net1941,4.66µm
net1982,4.66µm
net2032,4.66µm
net2132,4.66µm
net2169,4.66µm
net2225,4.66µm
net2296,4.66µm
net2360,4.66µm
net2408,4.66µm
net2515,4.66µm
net2762,4.66µm
net2870,4.66µm
net3120,4.66µm
net3163,4.66µm
net3168,4.66µm
net3214,4.66µm
net3473,4.66µm
net3655,4.66µm
net3694,4.66µm
net3723,4.66µm
net3885,4.66µm
net4071,4.66µm
net4120,4.66µm
net4157,4.66µm
net4562,4.66µm
_01321_,4.655µm
_00683_,4.635µm
_00208_,4.625µm
_00399_,4.625µm
_00623_,4.625µm
_00746_,4.625µm
_00766_,4.625µm
_00882_,4.625µm
_00913_,4.625µm
_01028_,4.625µm
_01075_,4.625µm
_01089_,4.625µm
_01225_,4.625µm
_01240_,4.625µm
_01581_,4.625µm
_01727_,4.625µm
_01764_,4.625µm
_01812_,4.625µm
_01895_,4.625µm
_02049_,4.625µm
_02137_,4.625µm
_02454_,4.625µm
_02492_,4.625µm
_02499_,4.625µm
_02507_,4.625µm
_02559_,4.625µm
_02604_,4.625µm
_02647_,4.625µm
_02982_,4.625µm
_03101_,4.625µm
cpu_wdata[34],4.61µm
cpu_wdata[56],4.61µm
mem_rdata[15],4.61µm
mem_rdata[34],4.61µm
mem_rdata[55],4.61µm
_00274_,4.605µm
_00460_,4.605µm
net261,4.6µm
net1842,4.6µm
net1860,4.6µm
net2043,4.6µm
net2054,4.6µm
net3067,4.6µm
net3327,4.6µm
net3787,4.6µm
net3904,4.6µm
net4037,4.6µm
net4188,4.6µm
net4283,4.6µm
_00395_,4.585µm
_00840_,4.585µm
_01372_,4.585µm
_01477_,4.585µm
_01540_,4.585µm
_02169_,4.585µm
_02640_,4.585µm
_02704_,4.585µm
_02790_,4.585µm
_03711_,4.58µm
_04419_,4.58µm
_04601_,4.58µm
_04621_,4.58µm
_04841_,4.58µm
net126,4.58µm
net2077,4.58µm
net2566,4.58µm
net4162,4.58µm
_03851_,4.56µm
_03949_,4.56µm
data_array.data0\[13\]\[60\],4.56µm
data_array.data0\[9\]\[40\],4.56µm
data_array.data1\[1\]\[50\],4.56µm
tag_array.tag0\[9\]\[9\],4.56µm
tag_array.tag1\[13\]\[10\],4.56µm
net1870,4.56µm
net3105,4.56µm
_03063_,4.555µm
_02178_,4.54µm
_03456_,4.54µm
_04259_,4.54µm
_03050_,4.525µm
_00356_,4.505µm
_02743_,4.505µm
_03079_,4.505µm
_02338_,4.485µm
_02535_,4.485µm
_05011_,4.48µm
net1705,4.48µm
net1712,4.48µm
net1837,4.48µm
_03159_,4.46µm
_03410_,4.46µm
_03449_,4.46µm
_03455_,4.46µm
_03595_,4.46µm
_04025_,4.46µm
_04494_,4.46µm
_04573_,4.46µm
_04804_,4.46µm
_04865_,4.46µm
data_array.data0\[14\]\[35\],4.46µm
net61,4.46µm
net77,4.46µm
net309,4.46µm
net2379,4.46µm
net2552,4.46µm
net2689,4.46µm
net2730,4.46µm
net2959,4.46µm
net3089,4.46µm
net3103,4.46µm
net3322,4.46µm
net3348,4.46µm
net3366,4.46µm
net3403,4.46µm
net3701,4.46µm
net3709,4.46µm
net3728,4.46µm
net3986,4.46µm
net4036,4.46µm
net4053,4.46µm
net4172,4.46µm
net4330,4.46µm
net4372,4.46µm
net4541,4.46µm
net2855,4.44µm
_01051_,4.435µm
_01359_,4.435µm
_01751_,4.435µm
_02791_,4.435µm
_01883_,4.425µm
_03419_,4.42µm
_03501_,4.42µm
_03988_,4.42µm
_04072_,4.42µm
_04402_,4.42µm
_04504_,4.42µm
_05429_,4.42µm
net275,4.42µm
net305,4.42µm
net319,4.42µm
net2898,4.42µm
net3356,4.42µm
net3404,4.42µm
net3569,4.42µm
net3695,4.42µm
net4598,4.42µm
_00535_,4.405µm
cpu_addr[17],4.39µm
reset,4.39µm
_00349_,4.385µm
_00467_,4.385µm
_00577_,4.385µm
_00737_,4.385µm
_01153_,4.385µm
_01352_,4.385µm
_01410_,4.385µm
_01599_,4.385µm
_01680_,4.385µm
_01687_,4.385µm
_01750_,4.385µm
_01771_,4.385µm
_01833_,4.385µm
_02058_,4.385µm
_02181_,4.385µm
_02330_,4.385µm
_02331_,4.385µm
_02463_,4.385µm
_02470_,4.385µm
_02514_,4.385µm
_02527_,4.385µm
_02539_,4.385µm
_02588_,4.385µm
_02632_,4.385µm
_02644_,4.385µm
_02709_,4.385µm
_02123_,4.365µm
_01276_,4.36µm
_03398_,4.36µm
_04794_,4.36µm
_04946_,4.36µm
_04976_,4.36µm
_05002_,4.36µm
_05268_,4.36µm
_05370_,4.36µm
tag_array.tag1\[9\]\[24\],4.36µm
net325,4.36µm
data_array.data0\[11\]\[36\],4.345µm
tag_array.tag1\[15\]\[4\],4.345µm
_03292_,4.34µm
_03345_,4.34µm
_03383_,4.34µm
_03500_,4.34µm
_03611_,4.34µm
_03688_,4.34µm
_03714_,4.34µm
_04196_,4.34µm
_04306_,4.34µm
_04421_,4.34µm
_04596_,4.34µm
_04677_,4.34µm
_04771_,4.34µm
_04913_,4.34µm
_04936_,4.34µm
_04981_,4.34µm
_05006_,4.34µm
net1699,4.34µm
net1739,4.34µm
net2085,4.34µm
net2110,4.34µm
net2116,4.34µm
net2119,4.34µm
net2130,4.34µm
net2177,4.34µm
net2214,4.34µm
net2241,4.34µm
net2376,4.34µm
net2385,4.34µm
net2485,4.34µm
net2517,4.34µm
net2571,4.34µm
net2633,4.34µm
net2763,4.34µm
net2881,4.34µm
net3305,4.34µm
net3328,4.34µm
net3415,4.34µm
net3440,4.34µm
net3576,4.34µm
net3724,4.34µm
net3959,4.34µm
net4038,4.34µm
net4061,4.34µm
net4181,4.34µm
net4502,4.34µm
_02272_,4.335µm
_03548_,4.32µm
data_array.data0\[2\]\[12\],4.32µm
net1899,4.32µm
_01427_,4.315µm
_00313_,4.295µm
_01123_,4.295µm
_02657_,4.295µm
_02877_,4.295µm
_03097_,4.285µm
cpu_wdata[3],4.27µm
cpu_wdata[8],4.27µm
_00327_,4.265µm
_00519_,4.265µm
_00742_,4.265µm
_00791_,4.265µm
_00838_,4.265µm
_01010_,4.265µm
_01109_,4.265µm
_01149_,4.265µm
_01335_,4.265µm
_01446_,4.265µm
_01829_,4.265µm
_02416_,4.265µm
_02723_,4.265µm
_02759_,4.265µm
_02816_,4.265µm
_02959_,4.265µm
_03121_,4.245µm
_01864_,4.24µm
net1737,4.24µm
net1738,4.24µm
net1756,4.24µm
net1765,4.24µm
net1936,4.24µm
net2028,4.24µm
net2104,4.24µm
net2257,4.24µm
net2283,4.24µm
net2484,4.24µm
net2596,4.24µm
net2676,4.24µm
net2735,4.24µm
net2792,4.24µm
net2865,4.24µm
net2967,4.24µm
net2979,4.24µm
net3191,4.24µm
net3549,4.24µm
net3551,4.24µm
net3751,4.24µm
net3762,4.24µm
net4377,4.24µm
net4400,4.24µm
net4623,4.24µm
_03505_,4.22µm
data_array.data1\[13\]\[45\],4.22µm
data_array.data1\[8\]\[31\],4.22µm
data_array.data1\[9\]\[42\],4.22µm
data_array.data1\[9\]\[8\],4.22µm
tag_array.tag0\[5\]\[17\],4.22µm
tag_array.valid0\[5\],4.22µm
net254,4.22µm
net1970,4.22µm
net2657,4.22µm
net3418,4.22µm
net3610,4.22µm
_01688_,4.215µm
_04092_,4.2µm
net51,4.2µm
net79,4.2µm
net89,4.2µm
net2160,4.2µm
net2212,4.2µm
net2544,4.2µm
net2628,4.2µm
net2648,4.2µm
net2677,4.2µm
net2786,4.2µm
net2808,4.2µm
net3050,4.2µm
net3110,4.2µm
net3225,4.2µm
net3354,4.2µm
net3382,4.2µm
net3443,4.2µm
net3729,4.2µm
net3754,4.2µm
net3877,4.2µm
net3878,4.2µm
net4170,4.2µm
net4240,4.2µm
net4292,4.2µm
net4450,4.2µm
net4503,4.2µm
_01413_,4.195µm
_01565_,4.195µm
data_array.data0\[15\]\[45\],4.195µm
data_array.data1\[7\]\[37\],4.195µm
_05357_,4.17µm
_00239_,4.165µm
_00277_,4.165µm
_00408_,4.165µm
_00435_,4.165µm
_00478_,4.165µm
_00493_,4.165µm
_00499_,4.165µm
_01070_,4.165µm
_01164_,4.165µm
_01178_,4.165µm
_01286_,4.165µm
_01320_,4.165µm
_01330_,4.165µm
_01414_,4.165µm
_01567_,4.165µm
_01684_,4.165µm
_01800_,4.165µm
_01842_,4.165µm
_01926_,4.165µm
_02063_,4.165µm
_02133_,4.165µm
_02145_,4.165µm
_02194_,4.165µm
_02334_,4.165µm
_02377_,4.165µm
_02495_,4.165µm
_02763_,4.165µm
_03020_,4.165µm
_03041_,4.165µm
_00503_,4.145µm
_00518_,4.145µm
_00773_,4.145µm
_00852_,4.145µm
_02889_,4.145µm
_03161_,4.14µm
_03358_,4.14µm
net1747,4.14µm
net1828,4.14µm
net2343,4.14µm
net2464,4.14µm
net2574,4.14µm
net2906,4.14µm
net2996,4.14µm
net3312,4.14µm
net3388,4.14µm
net3417,4.14µm
net3710,4.14µm
net3817,4.14µm
net4015,4.14µm
net4154,4.14µm
net4212,4.14µm
net4452,4.14µm
net4460,4.14µm
_00642_,4.125µm
_02205_,4.125µm
_02247_,4.125µm
_02202_,4.12µm
_03593_,4.12µm
_03697_,4.12µm
_04639_,4.12µm
_04669_,4.12µm
_04949_,4.12µm
_05247_,4.12µm
net2189,4.12µm
net2719,4.12µm
net2871,4.12µm
net2884,4.12µm
net3524,4.12µm
net4139,4.12µm
net4279,4.12µm
_00837_,4.1µm
_04201_,4.1µm
_05121_,4.1µm
data_array.data1\[14\]\[15\],4.1µm
tag_array.tag0\[6\]\[2\],4.1µm
tag_array.tag1\[14\]\[18\],4.1µm
net1740,4.1µm
net3325,4.1µm
_00474_,4.095µm
_03302_,4.08µm
net1892,4.08µm
_00191_,4.07µm
_01317_,4.065µm
_01538_,4.065µm
_01619_,4.065µm
_02166_,4.065µm
_02257_,4.065µm
_02389_,4.065µm
_03058_,4.065µm
_00592_,4.045µm
_00594_,4.045µm
_01234_,4.045µm
_01388_,4.045µm
_01987_,4.045µm
_02570_,4.045µm
_02612_,4.045µm
_03015_,4.045µm
_05095_,4.04µm
_00984_,4.025µm
_03227_,4.02µm
_03297_,4.02µm
_03321_,4.02µm
_03330_,4.02µm
_03467_,4.02µm
_04680_,4.02µm
_00183_,4µm
_01786_,4µm
_03370_,4µm
_03768_,4µm
_03785_,4µm
_03813_,4µm
_03852_,4µm
_04075_,4µm
_04312_,4µm
_04653_,4µm
_04695_,4µm
_04783_,4µm
_04845_,4µm
_05114_,4µm
_05178_,4µm
_05188_,4µm
_05253_,4µm
_05278_,4µm
_05324_,4µm
_05535_,4µm
_05584_,4µm
data_array.data1\[5\]\[29\],4µm
data_array.rdata0\[62\],4µm
tag_array.tag0\[10\]\[1\],4µm
tag_array.tag0\[1\]\[9\],4µm
tag_array.valid0\[2\],4µm
net72,4µm
net326,4µm
net2106,4µm
net2291,4µm
