net,length_um
net1298,137.98µm
net1556,137.96µm
net1288,137.88µm
clknet_leaf_268_clk,137.6µm
_00101_,137.585µm
_00085_,137.305µm
net1126,136.94µm
net1316,136.84µm
clknet_leaf_71_clk,136.82µm
_05426_,136.68µm
_00077_,136.255µm
net509,136.22µm
fsm.valid0,135.98µm
clknet_leaf_161_clk,135.595µm
net533,135.58µm
clknet_leaf_260_clk,135.26µm
net653,134.98µm
net1461,134.84µm
_00170_,134.705µm
net1289,134.68µm
_00036_,134.545µm
_00159_,134.445µm
net13,133.93µm
clknet_leaf_191_clk,133.36µm
net27,132.825µm
net1189,132.72µm
_05393_,132.62µm
clknet_leaf_224_clk,132.34µm
net1367,132.21µm
clknet_leaf_73_clk,132.2µm
net1473,132.04µm
net1160,131.9µm
net1409,131.89µm
net781,131.78µm
net1650,131.64µm
net1315,131.56µm
net20,131.55µm
_00040_,131.075µm
_05554_,130.83µm
net1162,130.7µm
net3,130.43µm
net1569,130.35µm
clknet_leaf_77_clk,129.77µm
_00143_,129.705µm
net737,129.7µm
clknet_leaf_88_clk,129.62µm
net696,129.52µm
net1611,129.46µm
net1515,129.18µm
clknet_leaf_168_clk,128.64µm
net1651,128.48µm
_00123_,128.225µm
clknet_leaf_39_clk,128.14µm
net24,128.07µm
clknet_leaf_122_clk,127.98µm
_00136_,127.925µm
_00042_,127.705µm
net1434,127.24µm
clknet_leaf_84_clk,126.835µm
clknet_leaf_41_clk,126.7µm
net1257,126.48µm
_00028_,126.325µm
clknet_leaf_14_clk,126.28µm
net1374,125.87µm
_05497_,125.82µm
_05490_,125.52µm
_00039_,125.36µm
clknet_leaf_258_clk,125.16µm
clknet_leaf_234_clk,124.81µm
clknet_leaf_261_clk,124.48µm
clknet_leaf_19_clk,124.475µm
net9,124.345µm
clknet_leaf_28_clk,124.34µm
clknet_leaf_249_clk,124.08µm
_05440_,123.74µm
clknet_leaf_160_clk,123.7µm
clknet_leaf_4_clk,123.61µm
fsm.tag_out0\[2\],123.58µm
net1443,123.54µm
net5,123.49µm
clknet_leaf_67_clk,123.435µm
clknet_leaf_175_clk,123.4µm
_00104_,123.305µm
net1408,123.095µm
net883,123.02µm
_05544_,122.96µm
_00061_,122.885µm
_03147_,122.62µm
_03282_,122.41µm
clknet_leaf_207_clk,122.22µm
clknet_leaf_134_clk,122.04µm
net817,121.99µm
_00139_,121.705µm
net748,121.705µm
_00182_,121.58µm
net947,121.58µm
clknet_leaf_35_clk,121.46µm
_00178_,121.295µm
