Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_181_167,VGND,li1,82.5700,505.9200,0.000131
FILLER_181_161,VGND,li1,80.9600,505.9200,0.000131
FILLER_181_149,VGND,li1,76.8200,505.9200,0.000123
FILLER_181_137,VGND,li1,71.3000,505.9200,0.000109
FILLER_181_125,VGND,li1,65.7800,505.9200,0.000101
FILLER_181_113,VGND,li1,60.2600,505.9200,0.000090
FILLER_181_111,VGND,li1,56.8100,505.9200,0.000080
FILLER_181_105,VGND,li1,55.2000,505.9200,0.000080
FILLER_181_93,VGND,li1,51.0600,505.9200,0.000071
FILLER_181_81,VGND,li1,45.5400,505.9200,0.000058
FILLER_181_69,VGND,li1,40.0200,505.9200,0.000049
FILLER_181_57,VGND,li1,34.5000,505.9200,0.000038
FILLER_181_55,VGND,li1,31.0500,505.9200,0.000029
FILLER_181_51,VGND,li1,29.9000,505.9200,0.000029
FILLER_181_39,VGND,li1,26.2200,505.9200,0.000020
FILLER_181_27,VGND,li1,20.7000,505.9200,0.000020
FILLER_181_15,VGND,li1,15.1800,505.9200,0.000020
FILLER_181_3,VGND,li1,9.6600,505.9200,0.000020
FILLER_180_1091,VGND,li1,507.6100,500.4800,0.000022
FILLER_180_1085,VGND,li1,506.0000,500.4800,0.000022
FILLER_180_1073,VGND,li1,501.8600,500.4800,0.000022
FILLER_180_1061,VGND,li1,496.3400,500.4800,0.000022
FILLER_180_1049,VGND,li1,490.8200,500.4800,0.000022
FILLER_180_1037,VGND,li1,485.3000,500.4800,0.000022
FILLER_180_1035,VGND,li1,481.8500,500.4800,0.000033
FILLER_180_1029,VGND,li1,480.2400,500.4800,0.000033
FILLER_180_1017,VGND,li1,476.1000,500.4800,0.000042
FILLER_180_1005,VGND,li1,470.5800,500.4800,0.000057
FILLER_180_993,VGND,li1,465.0600,500.4800,0.000066
FILLER_180_981,VGND,li1,459.5400,500.4800,0.000078
FILLER_180_979,VGND,li1,456.0900,500.4800,0.000090
FILLER_180_973,VGND,li1,454.4800,500.4800,0.000090
FILLER_180_961,VGND,li1,450.3400,500.4800,0.000099
FILLER_180_949,VGND,li1,444.8200,500.4800,0.000113
FILLER_180_937,VGND,li1,439.3000,500.4800,0.000123
FILLER_180_925,VGND,li1,433.7800,500.4800,0.000135
FILLER_180_923,VGND,li1,430.3300,500.4800,0.000146
FILLER_180_917,VGND,li1,428.7200,500.4800,0.000146
FILLER_180_905,VGND,li1,424.5800,500.4800,0.000155
FILLER_180_893,VGND,li1,419.0600,500.4800,0.000167
FILLER_180_881,VGND,li1,413.5400,500.4800,0.000179
FILLER_180_869,VGND,li1,408.0200,500.4800,0.000191
FILLER_180_867,VGND,li1,404.5700,500.4800,0.000199
FILLER_180_859,VGND,li1,402.5000,500.4800,0.000204
FILLER_180_847,VGND,li1,397.9000,500.4800,0.000214
FILLER_180_833,VGND,li1,389.3900,500.4800,0.000218
FILLER_180_825,VGND,li1,386.8600,500.4800,0.000211
FILLER_180_813,VGND,li1,382.2600,500.4800,0.000203
FILLER_180_811,VGND,li1,378.8100,500.4800,0.000194
FILLER_180_807,VGND,li1,377.6600,500.4800,0.000194
FILLER_180_800,VGND,li1,373.7500,500.4800,0.000186
FILLER_180_792,VGND,li1,371.6800,500.4800,0.000182
FILLER_180_785,VGND,li1,367.0800,500.4800,0.000171
FILLER_180_773,VGND,li1,363.8600,500.4800,0.000167
FILLER_180_752,VGND,li1,351.6700,500.4800,0.000138
FILLER_180_746,VGND,li1,350.0600,500.4800,0.000138
FILLER_180_717,VGND,li1,337.1800,500.4800,0.000099
FILLER_180_681,VGND,li1,319.4700,500.4800,0.000135
FILLER_180_673,VGND,li1,316.9400,500.4800,0.000144
FILLER_180_661,VGND,li1,312.3400,500.4800,0.000160
FILLER_180_643,VGND,li1,301.5300,500.4800,0.000192
FILLER_180_635,VGND,li1,299.4600,500.4800,0.000200
FILLER_180_623,VGND,li1,294.8600,500.4800,0.000211
FILLER_180_613,VGND,li1,288.4200,500.4800,0.000232
FILLER_180_601,VGND,li1,284.7400,500.4800,0.000240
FILLER_180_589,VGND,li1,279.2200,500.4800,0.000257
FILLER_180_586,VGND,li1,275.5400,500.4800,0.000266
FILLER_180_578,VGND,li1,273.2400,500.4800,0.000272
FILLER_180_561,VGND,li1,266.3400,500.4800,0.000292
FILLER_180_549,VGND,li1,260.8200,500.4800,0.000308
FILLER_180_530,VGND,li1,249.7800,500.4800,0.000337
